Id	Sentence	Expert Judgement	Crowd Flower Judgements	Average	Dataset
59	As the human settements increase and agriculture also increases and also the use of chemical pesticides.	3	[1, 2, 2, 2, 3]	2.1666666666666665	train
60	One person if don't have good health that means so many things they could lost.	3	[3, 2, 2, 1, 3]	2.3333333333333335	test
61	Many studies over the last 50 years have shown that people who have fluoride in their drinking water are considerably have less cavities than people who have not drinking nonfluoridated water.	3	[3, 3, 3, 3, 2]	2.8333333333333335	test
62	They only care if the effects are good and popular among the crowds.	3	[4, 4, 4, 3, 2]	3.3333333333333335	dev
63	That is why calculated risks, as one could call them, are the predecessors of big success, because they get people's attention by giving people new options.	4	[4, 4, 4, 4, 4]	4.0	dev
64	It was more fun to explore somewhere new outside the places we knew well.	4	[3, 3, 3, 3, 3]	3.1666666666666665	train
65	maybe not giving the exsact same response (because every thing in nature changes) but some thing prox.	0	[]	0.0	none
66	I strongly desagree with the statement proposed and defenitely don`t want to believe that young people don`t spend time helping the community they live in.	4	[3, 3, 4, 2, 3]	3.1666666666666665	train
67	Likewise, The theory generating from the concept of memory is also not the appropriate way due to limited memory.	3	[3, 3, 3, 4, 4]	3.3333333333333335	test
68	in organisations when the CEO or the MD makes a decision about the persons that can be mentored to take up the leadership position in the comming time after the current leadership devolves power the are given experience in all the departments of the company .a person may be a engineer by qualification but when being developed to take up the top job he is made to go through posting in all the departments so that he can have proper knowledge of the workings of all he departments .	0	[]	0.0	none
69	because they spent time unmeaningful subjects.	2	[3, 3, 3, 3, 3]	2.8333333333333335	test
70	I was very fast, my best time was 55 seconds in 400 hundred meters is a good time in or country.	2	[2, 2, 3, 2, 2]	2.1666666666666665	test
71	And young people spend time more ther lifestile.	2	[4, 3, 2, 3, 3]	2.8333333333333335	test
72	Conclusively, I think other transportations are more convenient than cars and there should be fewer cars and the streets will be no traffic jam and less air pollution, it's my opinion.	3	[2, 3, 2, 1, 2]	2.1666666666666665	train
73	But I want to be selfish when I travel.	4	[3, 3, 4, 4, 4]	3.6666666666666665	train
74	He said in other words that the more flouride may create damage in human body, specifically the bone.	3	[3, 3, 4, 3, 3]	3.1666666666666665	dev
75	When these people create their new ideas others often look very strange on them.	3	[4, 4, 3, 4, 2]	3.3333333333333335	dev
76	If in this society who will not to do study they never concept there opportunity or can't understand any ideas so most of the important that in this situation and I also very interestion and also prefer that for the study material.	1	[1, 2, 3, 1, 3]	1.8333333333333333	test
77	This is a universal truth.	4	[3, 4, 4, 3, 3]	3.5	train
78	You will learn to socialize with people.	4	[4, 4, 4, 4, 4]	4.0	dev
79	We have to know this problem it's serious but almost people doens't know about this.	3	[4, 3, 4, 1, 2]	2.8333333333333335	test
80	And the evidence of it is the complicate water-control system.	3	[3, 3, 3, 3, 4]	3.1666666666666665	train
81	No ohter transportation concept has been as successful as the car, not only because the goog street and highway system throughout the United States and Europe, but only because off the fact, that people love their cars.	2	[2, 2, 2, 3, 3]	2.3333333333333335	dev
82	It seems really good apatize.	2	[1, 2, 1, 2, 2]	1.6666666666666667	train
83	This is most clearly shown in the field of economics.	4	[4, 4, 3, 4, 4]	3.8333333333333335	train
84	If they prefer to choose cars than motor bike, that means there will be many cars.	3	[2, 3, 3, 2, 3]	2.6666666666666665	dev
85	They don't have a big meat like on TV.	3	[3, 3, 3, 3, 3]	3.0	train
86	And it may increase more speeders.	3	[3, 3, 4, 4, 4]	3.5	train
87	Obviously the doctor participate in the trial of these medications and they work for months and years to standarize the dose, the effects on the ailment , its side effects, physical and psychological dependance, and more over its toxic effects on the living being.	3	[3, 2, 3, 3, 2]	2.6666666666666665	train
88	Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas.	4	[3, 3, 2, 3, 3]	3.0	test
89	That's why he is a legend in these days and people repect him.	3	[3, 3, 3, 3, 4]	3.1666666666666665	dev
90	Suth as, culers and people	0	[]	0.0	none
91	But in other waythismakes other way country need to pay extra money to make, repair the roads What they did is reduce the amount of gas consumers, high the gas tax, and low the income tax because they thought, only rise the gas tax is unfair.	2	[4, 2, 1, 3, 3]	2.5	test
92	Second, it is truffce that	0	[]	0.0	none
93	Today, MBA students with a background in engineering are in high demand.	4	[3, 3, 3, 4, 4]	3.5	test
94	For example, video materials will help instructing to students.	3	[3, 3, 2, 3, 3]	2.8333333333333335	train
95	In the case of young people the best way is studying as hard as possible to get better grades so in the future they will have better chance to find better jobs.	4	[3, 4, 3, 4, 3]	3.5	test
96	I think these researches are very noble and hopefully they will provide a better energy source.	3	[3, 3, 3, 4, 3]	3.1666666666666665	train
97	So the school try learning the students a bit in every science exist.	2	[3, 2, 1, 2, 1]	1.8333333333333333	test
98	for example, in math club, teachers usually teach us how to solve a math problem using vary ways.	3	[2, 3, 3, 2, 3]	2.6666666666666665	dev
99	I think they have to get skill on it.	3	[3, 4, 3, 4, 3]	3.3333333333333335	test
100	Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation	4	[3, 3, 3, 4, 3]	3.3333333333333335	test
101	Therefore, The car in use will be increaced in next twenty years or in the future.	3	[3, 3, 3, 2, 3]	2.8333333333333335	train
102	Is important also have parent`s and friend`s advices for help us do the best thing.	2	[3, 3, 3, 3, 2]	2.6666666666666665	train
103	These things are what I can not learn from the textbooks.	4	[3, 3, 4, 3, 4]	3.5	train
104	I will explain my points of views in the following paragraphs.	3	[4, 3, 4, 3, 3]	3.3333333333333335	test
105	we need teacher or book.	3	[3, 3, 2, 3, 3]	2.8333333333333335	train
106	Personally, I do not like to travel in a group led by a tour guide.	4	[3, 4, 4, 4, 4]	3.8333333333333335	train
107	In order hand, when I was a fresh man in my college, I could concentrate on my favorit subjects.	3	[2, 3, 3, 3, 3]	2.8333333333333335	dev
108	He thinks differently from other people and he succeded.	3	[3, 3, 4, 4, 3]	3.3333333333333335	test
109	These activities make the community a better place to live in and inculcate these values in all the members.	3	[3, 3, 3, 4, 4]	3.3333333333333335	test
110	I have an IBM computer and my laptop is DELL.	4	[4, 3, 4, 4, 4]	3.8333333333333335	dev
111	By the way, glutten is highly correlated with autism, a form of psychosocial disorder among childrens.	4	[3, 3, 3, 4, 3]	3.3333333333333335	train
112	not only, i prefer to make decision for myself, but also i think that others also want to have the oppotunity of decision- making.	3	[3, 3, 3, 2, 3]	2.8333333333333335	train
113	So if the company buys eco-certified wood it will be expensive.	4	[2, 4, 4, 3, 3]	3.3333333333333335	train
114	Fuel is getting depleted and thus the governments are made to pay a lot to import fuel and thus leading to hike in fuel prices and making the layman think about the utilization of cars which are costing him a lot.	3	[2, 4, 3, 2, 2]	2.6666666666666665	train
115	read book as when i speaking help me. example good speak is good book ..	1	[2, 3, 3, 1, 1]	1.8333333333333333	train
116	All the resources and mateials are open to everyone, that includes both the yong and the old.	4	[3, 3, 3, 3, 3]	3.1666666666666665	train
117	Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study.	3	[2, 1, 1, 1, 1]	1.5	test
118	And it was very easy to me to understand why he always brang bad marks at home.	2	[3, 3, 3, 3, 3]	2.8333333333333335	test
119	You are not motivated to read or do research to know about the place you are going to visit prior to your trip.	4	[3, 4, 3, 3, 4]	3.5	train
120	well, he or she do not learn anything.	3	[2, 3, 2, 3, 3]	2.6666666666666665	train
121	Besides, many private institute to learn creat in our society.	2	[3, 3, 3, 3, 3]	2.8333333333333335	train
122	For example TOEFL test makes grades.	3	[3, 3, 4, 2, 3]	3.0	train
123	An individual had to practise and understand ideas and concepts before they work.	2	[4, 3, 3, 4, 3]	3.1666666666666665	train
124	Then when we went to the Science Olympiad, she could have diverse knowledges about the subects and it was not new for her to think about new things.	3	[3, 3, 2, 1, 3]	2.5	test
125	With people becoming aware of it day by day there is a feelong amongst them to make use of cars unless and until required.	3	[3, 3, 3, 3, 3]	3.0	train
126	Air in China is not so clean because of cars.	4	[4, 3, 3, 4, 4]	3.6666666666666665	dev
127	When price of gas goes up, the consumer do not want buy gas for fuels.	3	[3, 3, 2, 3, 2]	2.6666666666666665	dev
128	For example, the professor example with rabbits hairs.	2	[3, 3, 4, 3, 3]	3.0	train
129	The professor believes that thic kind of learning will not have the success the books did.	4	[3, 4, 3, 3, 2]	3.1666666666666665	train
130	although , learning more subjects gives us a huge knowledge which is make me sucssesfu in my study.	3	[3, 3, 3, 3, 2]	2.8333333333333335	dev
131	After retirement they may not be having a lot of money to enjoy their life in the way they would like to.	3	[3, 3, 3, 4, 4]	3.3333333333333335	train
132	etc.	0	[]	0.0	none
133	Like how take the airplan, how chage time and time is important to him.	1	[3, 2, 3, 3, 2]	2.3333333333333335	train
134	If every people thinks to learn and understand lots of scientifc subjects, any person will do not do it and as a result of this any science isn't imporeved.	2	[3, 2, 2, 1, 1]	1.8333333333333333	test
135	Do you think drive more?	2	[2, 2, 1, 1, 2]	1.6666666666666667	train
136	When you`re making a tour guide trip, you already have a everything settled from the time you`re departing to the time you arrive.	3	[4, 3, 4, 4, 3]	3.5	dev
137	On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.	4	[4, 2, 3, 3, 3]	3.1666666666666665	dev
138	This rebuffs the reading passage's claim that there is no improvement.	4	[3, 3, 3, 4, 3]	3.3333333333333335	dev
139	Thus in concordance with the above I agree whole heartedly that in twenty years there will be fewer cars in use than there are today.	4	[3, 3, 3, 4, 3]	3.3333333333333335	test
140	As they are involved with study, they donot get enough time to look after their community.	4	[3, 3, 3, 3, 3]	3.1666666666666665	dev
141	poor sosaites choses to ues puplic tranportion such as buses , tranes , boates , ... , etc .	3	[2, 1, 3, 1, 1]	1.8333333333333333	train
142	Third the butt it in hte front of the door of store to make the poeple see it even if it is not good	2	[1, 2, 1, 2, 1]	1.5	test
143	I don't agree with this statement, and I will develop my point of view in a three-part explanation.	4	[4, 4, 4, 3, 4]	3.8333333333333335	train
144	I prefer going to travel with a group to going alone.	3	[3, 3, 3, 3, 3]	3.0	train
145	Firstly , it can help studengts become more emtionally engaged with the mateial, especilly history and social studies which people insterest in .	3	[3, 3, 3, 3, 3]	3.0	train
146	However, I strongly maintained that traveling by their own gives a lot of advantages.	3	[4, 4, 3, 3, 3]	3.3333333333333335	dev
147	However, are these things all good to people?	4	[4, 3, 4, 4, 3]	3.6666666666666665	test
148	The even ask themself how this kind of things didn't cross their mind.	3	[3, 2, 3, 3, 3]	2.8333333333333335	dev
149	Very soon they will run out at the current rate of utilisation.	4	[3, 3, 3, 3, 4]	3.3333333333333335	test
150	In the lecture, however, professor oppose the reading statement.	3	[4, 3, 3, 3, 3]	3.1666666666666665	test
151	But YOU have to create these opportunities.	4	[3, 3, 3, 4, 4]	3.5	test
152	People tends to choose other medias, and that is why litterature is in danger.	3	[3, 2, 4, 3, 4]	3.1666666666666665	dev
153	I cast doubt that twenty years is too short time to prove the problem.	2	[4, 3, 3, 4, 3]	3.1666666666666665	dev
154	If one just spend most of the time on learning knowledge of many subjects, he or she may not have the time to do related research.	3	[3, 3, 4, 3, 3]	3.1666666666666665	train
155	Throughts our lives needs talk about our familys.	1	[3, 2, 4, 2, 2]	2.3333333333333335	test
156	Also they can be ore effective in recognising cars ID, but the question is will it be suitsble to get red of patrols by using this technology since patrols can work together and also they can enhance their performance of sure .	2	[3, 1, 2, 1, 3]	2.0	train
157	So for these reasons i really believe that it's important to have a broad knowledge on different subjects, instead of being focused on just one, because sometime the answer that we are searching for, we can easily find it in a field that can seems not related to our purpose.	3	[3, 4, 3, 2, 4]	3.1666666666666665	dev
158	I am pleased to know intelligent peple and learn about things which I don't know.	4	[4, 3, 4, 4, 4]	3.8333333333333335	dev
159	Then people have any big trouble can not to break it out , we can use the computer to esay to do it without any difficult.	2	[3, 3, 3, 3, 1]	2.5	train
160	They try new things .	4	[4, 4, 3, 4, 4]	3.8333333333333335	test
161	Therefore, I agree this statement	3	[3, 3, 4, 2, 3]	3.0	train
162	Inorder to do this, they would need to learn additionally skills, either theoretical or practical, that would increase their understanding and future application of their chosen subject.	3	[2, 3, 3, 3, 3]	2.8333333333333335	test
163	if you want a product you give create a beautiful image around it if you want sell it.	2	[3, 3, 1, 3, 4]	2.6666666666666665	test
164	As far as I am concerned, however, I think it is better to travel in a gruop led by a tour guide.	4	[3, 4, 4, 3, 4]	3.6666666666666665	train
165	and in summer they hawve to sold air conditioner.	3	[3, 2, 3, 2, 2]	2.5	train
166	and dont wont stady new sthings .	2	[3, 3, 3, 3, 3]	2.8333333333333335	train
167	It is goo	0	[]	0.0	none
168	Finally, they can travel to other countries through programs in internet.	3	[3, 3, 4, 4, 3]	3.3333333333333335	train
169	just like others you have already bought..	4	[2, 3, 4, 3, 3]	3.1666666666666665	train
170	Secondly the place of the film must must be very clear and chir must be relax etc.	2	[3, 2, 2, 3, 3]	2.5	test
171	even they can't spend enoungh time with their families.	4	[3, 3, 4, 3, 3]	3.3333333333333335	train
172	and will put you maind on a non-stop learning...	3	[3, 2, 3, 3, 3]	2.8333333333333335	test
173	this will the proof of speeding offense so that polices can easily catch them..	2	[2, 3, 3, 3, 4]	2.8333333333333335	test
174	In today's Compuer skill is first important life skill.	2	[3, 2, 2, 3, 2]	2.3333333333333335	test
175	Every patients can not buy that medicine but that cost must be part of finding new drugs.	3	[3, 3, 4, 3, 4]	3.3333333333333335	train
176	To resolve this problem, the governments of the cities are likely to improve the public transportation system by building new subway system and adding more lines for buses.	3	[3, 4, 3, 4, 4]	3.5	dev
177	You can just know all materilas behaviour and some other basic things .	4	[3, 4, 4, 1, 2]	3.0	train
178	we can enjoy the whole life as the happiness is presents inside ourselves and not any other place and this is the secret...	3	[3, 3, 2, 3, 3]	2.8333333333333335	train
179	He last choosed to learn truth.	3	[3, 3, 3, 3, 3]	3.0	test
180	But they are very shy.	4	[4, 3, 4, 4, 4]	3.8333333333333335	train
181	I never have stopped myself to think this, but this is a real possibility for the fucture.	3	[3, 1, 3, 3, 3]	2.6666666666666665	test
182	so when i went to my teacher she didn't had time for me explain it so when the exam came i tryed to memories the lesson but during the exam i forgot everything and i didn't do anything, so from that day i never missed any class i try to understand what he or she are explaining .	0	[]	0.0	none
183	If the person knows what he wants to achive and do it the right way it will succed in what he propose to himself.	3	[3, 3, 2, 3, 3]	2.8333333333333335	train
184	Young has his own field and word on it hard, and do more benefits to the society.	2	[3, 2, 4, 4, 3]	3.0	test
185	I even see more young adults in the States are willing to help out their community by doing any kind of service.	4	[3, 3, 3, 3, 4]	3.3333333333333335	train
186	And I think that success can't come without the work.	4	[3, 3, 3, 4, 4]	3.5	train
187	There is the possibility to find a way to use less energz or the possiblity to finf new resources, like wind or water.	3	[3, 4, 2, 3, 4]	3.1666666666666665	train
188	The dean required him to go to southafrica for certian research about Aids.	3	[3, 3, 3, 4, 3]	3.1666666666666665	train
189	people tired of the same taste.	4	[3, 3, 4, 3, 3]	3.3333333333333335	train
190	and about the new information there is editors .	2	[3, 3, 1, 3, 3]	2.5	test
191	Being able to afford all the fancy restaurants I can only pass by today and have big boats to go salling and invite friends together semms to me like good deals of getting older.	3	[2, 2, 2, 2, 3]	2.3333333333333335	train
192	They do not relent in any way.	4	[2, 3, 3, 4, 2]	3.0	train
193	Because most of the times, succesful people suffered incomprenhension from their contemporaries, at least in any moment of their lives.	3	[3, 3, 2, 2, 4]	2.8333333333333335	train
194	befor the school.	0	[]	0.0	none
195	Also, at the end, you will share your experiences with other people and the most important, other's will share experiences quiet different from yours.	3	[2, 3, 3, 3, 3]	2.8333333333333335	train
196	I know lots of old people who go to parties, stay always in contact with others people.	3	[3, 2, 2, 3, 3]	2.6666666666666665	dev
197	In the sphere of science, it is obvious that nothing can be done without specific knowledge.	4	[3, 3, 3, 3, 4]	3.3333333333333335	train
198	1 - medical conditions have a naturally limited duration and disappear by themselves even with out treatment.	4	[3, 4, 4, 4, 3]	3.6666666666666665	train
199	Hence, this results in the existence of more new generations who can assist the development of his / her own communities.	3	[2, 4, 4, 3, 3]	3.1666666666666665	train
200	Once you watch a film like the Titanic or the Godfather and you realilzed that its a good or an exciting film you will not miss the chance to watch it for the second time and even to buy it and watch it as many as you wish.	3	[3, 2, 2, 2, 2]	2.3333333333333335	train
201	It's also using in the vitamine Omega-3.	3	[3, 3, 3, 3, 3]	3.0	train
202	If we conseder an idea as a totally autonomous concept within the individual process of defining reality, I will state that ideas are useless, not being based on experience.	4	[3, 3, 3, 4, 3]	3.3333333333333335	test
203	But these thing seem to hard for old people, they move so hardly, and don't have health body to play this thing like sports.	3	[2, 3, 3, 2, 3]	2.6666666666666665	dev
204	He/she wants to know everything about the universe, wants to know everything about the God, the death etc. these some concepts that everyone can encourage a lot of ideas but the facts are not found yet.	3	[3, 2, 2, 2, 3]	2.5	test
205	For example, if you understand the idea that all diseases, caused by microorganisms, are treated with the antibiotics, you will never use antidepressants.	3	[3, 2, 3, 4, 4]	3.1666666666666665	dev
206	I like about that, but after that it's gradually starting boring and finally I didn't have interesting about all the stuff.	2	[3, 3, 3, 2, 2]	2.5	dev
207	The reading passage explains that in the traditional system, teachers had higher salaries based on the time he or she was working.	4	[3, 4, 4, 3, 4]	3.6666666666666665	train
208	It so expensive that only those people can do this besides of their allday living.	2	[3, 3, 2, 2, 2]	2.3333333333333335	test
209	The cost of living conditions is very high and a family is in the difficult situation not to support the existance of a car in the every day life1 On the other hand the enviromental pollution has succeed high scores!	0	[]	0.0	none
210	it collects one person's data.	4	[3, 3, 3, 3, 4]	3.3333333333333335	train
211	They make very high profits year after yaer and the numbers also increase year after year.	4	[2, 3, 3, 3, 3]	3.0	test
212	The interplay of light, mirrors, colours, photography techniques and appealing phrases created a complete attraction for any one that would be interested in fashion clothes.	4	[3, 4, 3, 3, 3]	3.3333333333333335	train
213	For this reason, the number of cars would be decrease in the future.	3	[4, 3, 3, 3, 4]	3.3333333333333335	test
214	Unless engineers and researchers come up with alternative technologies very soon, we are going to find ourseleves in a situation where use of automobiles with petrol or diesel engines is just not economical.	4	[2, 3, 4, 3, 3]	3.1666666666666665	train
215	Because there is wroth visiting space.	2	[3, 3, 3, 3, 4]	3.0	train
216	So he took upon himself to narrow his research on this subject which was a mystery to the world.	3	[3, 3, 4, 4, 3]	3.3333333333333335	test
217	Indeed, an older people has a job, a family, less spare time...	3	[3, 2, 3, 3, 3]	2.8333333333333335	train
218	A general education is privileged than a specialization.	2	[1, 3, 3, 2, 2]	2.1666666666666665	train
219	there days later my order came and that I disapointed about that , because It was realy really unconfortunable.	2	[3, 3, 2, 2, 2]	2.3333333333333335	train
220	This was more enjoyment than the dance.	4	[3, 4, 3, 4, 3]	3.5	train
221	In her salary we cant buy some car because we are planing to finish our hause in Binangonan, Rizal and we will planing to finish my study in Boston.	3	[2, 2, 2, 3, 3]	2.5	dev
222	Others who don't have this concept they will sell uncerfied wood.	3	[3, 3, 2, 3, 3]	2.8333333333333335	test
223	I did not pay attention to this at all.	4	[4, 4, 4, 4, 4]	4.0	train
224	The more I could solve the problem, the more difficult math problem I had.	3	[3, 3, 3, 4, 3]	3.1666666666666665	train
225	so the information technology and advanced technology are so much increased.	3	[3, 3, 3, 3, 3]	3.0	dev
226	He will clear about the output after he has seen the thing practically.	2	[4, 3, 3, 2, 3]	2.8333333333333335	train
227	I was not happy too .	3	[3, 3, 3, 3, 4]	3.1666666666666665	train
228	Even more relevant to the seduction of advertisement is the fact that quite frequently those images of perfection placed in front of our eyes are just mirages and illusions, bodies touched up by computer programs and therefore, they do not resemble reality at all.	4	[3, 3, 4, 4, 2]	3.3333333333333335	dev
229	As the professor claimed the details and examples to strengthen the position of reading passage, which I, in the following pargarghs, would like to provide the evidence to present the whole views.	3	[2, 2, 3, 4, 3]	2.8333333333333335	dev
230	I didn't have self-confidence.	4	[4, 4, 4, 4, 4]	4.0	test
231	If there are specialized docters, the docter has done the operation very often before, so he is really talented in his job.	3	[3, 3, 2, 1, 4]	2.6666666666666665	test
232	In the advertisement that he shows in the media, newspapers, magazines, and public spaces, he clearly says that the product is made with products of high quality in technology.	3	[4, 3, 3, 3, 4]	3.3333333333333335	dev
233	So It will be good situstion.	3	[3, 3, 3, 3, 3]	3.0	test
234	We have a lot of paper have to write.	2	[3, 3, 3, 3, 4]	3.0	dev
235	One is for sure - the knowledge I gain won't be unnecessary.	3	[3, 3, 3, 4, 3]	3.1666666666666665	train
236	A person with broad knowlege will help him to renovate.	2	[4, 3, 4, 4, 4]	3.5	dev
237	The development of biomechanics has made this possible.	4	[4, 3, 4, 4, 4]	3.8333333333333335	dev
